x,y,yaw,road_id,lane_id
258.49704,-192.388763,-1.56771145,29,-1
258.500122,-193.388763,-1.56771145,29,-1
258.503204,-194.388763,-1.56771145,29,-1
258.506287,-195.388748,-1.56771145,29,-1
258.509369,-196.388748,-1.56771145,29,-1
258.512451,-197.388748,-1.56771145,29,-1
258.515533,-198.388733,-1.56771145,29,-1
258.518646,-199.388733,-1.56771145,29,-1
258.521729,-200.388733,-1.56771145,29,-1
258.524811,-201.388733,-1.56771145,29,-1
258.527893,-202.388718,-1.56771145,29,-1
258.530975,-203.388718,-1.56771145,29,-1
258.534058,-204.388702,-1.56771145,29,-1
258.53714,-205.388702,-1.56771145,29,-1
258.540222,-206.388702,-1.56771145,29,-1
258.543304,-207.388702,-1.56771145,29,-1
258.546387,-208.388687,-1.56771145,29,-1
258.549469,-209.388687,-1.56771145,29,-1
258.552551,-210.388687,-1.56771145,29,-1
258.555664,-211.388672,-1.56771145,29,-1
258.558746,-212.388672,-1.56771145,29,-1
258.561829,-213.388672,-1.56771145,29,-1
258.564911,-214.388672,-1.56771145,29,-1
258.567993,-215.388657,-1.56771145,29,-1
258.571075,-216.388657,-1.56771145,29,-1
258.574158,-217.388641,-1.56771145,29,-1
258.57724,-218.388641,-1.56771145,29,-1
258.580322,-219.388641,-1.56771145,29,-1
258.583405,-220.388641,-1.56771145,29,-1
258.586487,-221.388626,-1.56771145,29,-1
258.589569,-222.388626,-1.56771145,29,-1
258.592682,-223.388611,-1.56771145,29,-1
258.595764,-224.388611,-1.56771145,29,-1
258.598846,-225.388611,-1.56771145,29,-1
258.601929,-226.388611,-1.56771145,29,-1
258.605011,-227.388596,-1.56771145,29,-1
258.608093,-228.388596,-1.56771145,29,-1
258.611176,-229.388596,-1.56771145,29,-1
258.614258,-230.38858,-1.56771145,29,-1
258.61734,-231.38858,-1.56771145,29,-1
258.620422,-232.38858,-1.56771145,29,-1
258.623505,-233.38858,-1.56771145,29,-1
258.626587,-234.388565,-1.56771145,29,-1
258.629669,-235.388565,-1.56771145,29,-1
258.632782,-236.38855,-1.56771145,29,-1
258.638611,-238.288544,-1.56771145,89,-1
258.595428,-239.449158,-1.66023833,61,-1
258.424744,-240.626984,-1.76921155,61,-1
258.126953,-241.779221,-1.8781849,61,-1
257.705627,-242.892273,-1.98715826,61,-1
257.16571,-243.952866,-2.09613175,61,-1
256.513702,-244.948486,-2.20510497,61,-1
255.757248,-245.867264,-2.3140782,61,-1
254.909348,-246.695389,-2.42023739,61,-1
253.991821,-247.425232,-2.51902282,61,-1
253.00679,-248.06102,-2.61780826,61,-1
251.963867,-248.596573,-2.71659369,61,-1
250.873215,-249.026657,-2.81537886,61,-1
249.745438,-249.347061,-2.91416429,61,-1
248.591583,-249.554688,-3.01294972,61,-1
246.736008,-249.650787,3.13470732,27,-1
245.736038,-249.643906,3.13470732,27,-1
244.736053,-249.637024,3.13470732,27,-1
243.736084,-249.630127,3.13470732,27,-1
242.736099,-249.623245,3.13470732,27,-1
